StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q18,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q26,Q22,Gender,Investing knowledge,Age,Education,Household income,Ethnicity,Stock_1,Q25
2022-03-13 15:34:12,2022-03-13 15:35:37,IP Address,71.202.89.233,100,84,True,2022-03-13 15:35:38,R_3peTVgLy2uj1k3b,,,,,37.8657073974609375,-122.2570953369140625,anonymous,EN,,Male,0-1 year,20-59,Undergraduate,<$25k,White,65,,,,,,,,,,
2022-03-13 15:35:10,2022-03-13 15:36:05,IP Address,192.31.105.213,100,54,True,2022-03-13 15:36:05,R_1KjRCfUbfQWBZWN,,,,,37.87359619140625,-122.2570037841796875,anonymous,EN,,,,,,,,,,,Male,1-5 years,20-59,Undergraduate,$100-$150k,Hispanic,69,
2022-03-13 15:35:34,2022-03-13 15:36:33,IP Address,64.62.133.42,100,59,True,2022-03-13 15:36:33,R_2PB7nJvY46p53FO,,,,,37.8766937255859375,-122.26760101318359375,anonymous,EN,,Male,1-5 years,20-59,Undergraduate,<$25k,White,86,,,,,,,,,,
2022-03-13 15:36:03,2022-03-13 15:36:43,IP Address,98.42.179.124,100,40,True,2022-03-13 15:36:43,R_31NTagzL2hoeopr,,,,,37.779998779296875,-122.464996337890625,anonymous,EN,,,,,,,,,,,Male,1-5 years,20-59,Undergraduate,$100-$150k,White,81,
2022-03-13 15:35:11,2022-03-13 15:37:06,IP Address,73.202.74.66,100,114,True,2022-03-13 15:37:06,R_1f89Q42SvMLKxMl,,,,,37.868194580078125,-122.2864990234375,anonymous,EN,,,,,,,,,,,Male,1-5 years,20-59,Undergraduate,$150k+,White,25,
2022-03-13 15:37:18,2022-03-13 15:37:46,IP Address,157.131.51.37,100,28,True,2022-03-13 15:37:46,R_2cClEOeV2vWcOdH,,,,,37.9145050048828125,-122.3007049560546875,anonymous,EN,,Non-binary,10+ years,< 20,Postgraduate,<$25k,Native American,100,,,,,,,,,,
2022-03-13 15:36:45,2022-03-13 15:38:24,IP Address,73.202.74.66,100,98,True,2022-03-13 15:38:24,R_3lteGsoMU0WLkd4,,,,,37.868194580078125,-122.2864990234375,anonymous,EN,,,,,,,,,,,Male,1-5 years,< 20,Undergraduate,$100-$150k,White,60,
2022-03-13 15:37:18,2022-03-13 15:38:44,IP Address,136.152.143.81,100,85,True,2022-03-13 15:38:44,R_2dmComp51Zc7mtF,,,,,37.87359619140625,-122.2570037841796875,anonymous,EN,,Male,1-5 years,< 20,Undergraduate,$150k+,Asian,62,,,,,,,,,,
2022-03-13 15:39:28,2022-03-13 15:40:41,IP Address,192.184.207.139,100,73,True,2022-03-13 15:40:42,R_3FRN2cpmxej2M6p,,,,,37.8636932373046875,-122.2760009765625,anonymous,EN,,,,,,,,,,,Female,0-1 year,20-59,Undergraduate,<$25k,White,50,
2022-03-13 15:42:54,2022-03-13 15:43:42,IP Address,73.202.74.66,100,48,True,2022-03-13 15:43:43,R_2BhWqIOSs9LXN9Y,,,,,37.868194580078125,-122.2864990234375,anonymous,EN,,Male,0-1 year,20-59,Undergraduate,$150k+,White,49,,,,,,,,,,
2022-03-13 15:43:50,2022-03-13 15:44:57,IP Address,107.77.214.137,100,67,True,2022-03-13 15:44:57,R_28ILpS4Btdyn4u8,,,,,37.5890045166015625,-122.0460968017578125,anonymous,EN,,,,,,,,,,,Female,0-1 year,< 20,Undergraduate,$150k+,Other,64,
2022-03-13 15:45:14,2022-03-13 15:45:59,IP Address,107.77.214.153,100,44,True,2022-03-13 15:45:59,R_vqTkqO4qkvX2Lgl,,,,,37.5890045166015625,-122.0460968017578125,anonymous,EN,,Male,0-1 year,< 20,Undergraduate,$150k+,Asian,75,,,,,,,,,,
2022-03-13 15:46:00,2022-03-13 15:46:53,IP Address,192.184.207.139,100,53,True,2022-03-13 15:46:53,R_30tPqfkCWqS05Uc,,,,,37.8636932373046875,-122.2760009765625,anonymous,EN,,,,,,,,,,,Female,0-1 year,20-59,Undergraduate,$150k+,White,56,
2022-03-13 15:43:36,2022-03-13 15:46:53,IP Address,192.31.105.217,100,196,True,2022-03-13 15:46:53,R_1eCqNiNZSNd4rVz,,,,,37.87359619140625,-122.2570037841796875,anonymous,EN,,Female,0-1 year,< 20,Undergraduate,<$25k,Hispanic,50,,,,,,,,,,
2022-03-13 15:51:41,2022-03-13 15:52:19,IP Address,174.208.231.209,100,38,True,2022-03-13 15:52:19,R_2Eiri71iPbUVQwI,,,,,41.9459991455078125,-87.70330047607421875,anonymous,EN,,Non-binary,10+ years,20-59,Undergraduate,$150k+,White,,,,,,,,,,,
2022-03-13 15:52:24,2022-03-13 15:53:13,IP Address,68.132.139.50,100,49,True,2022-03-13 15:53:14,R_2pXmSj825Ycc6VN,,,,,40.75970458984375,-73.9810028076171875,anonymous,EN,,,,,,,,,,,Male,5-10 years,20-59,Undergraduate,$100-$150k,White,10,
2022-03-13 15:53:08,2022-03-13 15:54:09,IP Address,73.222.209.161,100,60,True,2022-03-13 15:54:09,R_1IWtiIx4ggX3xEF,,,,,38.0995941162109375,-122.5872955322265625,anonymous,EN,,,,,,,,,,,Male,0-1 year,20-59,Undergraduate,<$25k,White,,
2022-03-13 16:05:47,2022-03-13 16:06:16,IP Address,67.188.175.34,100,29,True,2022-03-13 16:06:17,R_vBOKber8us85is9,,,,,37.8766937255859375,-122.26760101318359375,anonymous,EN,,Male,0-1 year,< 20,Undergraduate,$150k+,White,0,,,,,,,,,,
2022-03-13 16:07:07,2022-03-13 16:08:45,IP Address,136.25.185.35,100,98,True,2022-03-13 16:08:45,R_W0PgAJlCc7NruM1,,,,,37.8657073974609375,-122.2570953369140625,anonymous,EN,,Male,0-1 year,20-59,Undergraduate,$150k+,White,70,,,,,,,,,,
2022-03-13 16:40:44,2022-03-13 16:42:05,IP Address,192.31.105.188,100,81,True,2022-03-13 16:42:05,R_88ned7WWoaPBVYZ,,,,,37.87359619140625,-122.2570037841796875,anonymous,EN,,Male,0-1 year,20-59,Undergraduate,<$25k,White,9,,,,,,,,,,
2022-03-13 19:10:16,2022-03-13 19:11:02,IP Address,98.42.44.89,100,46,True,2022-03-13 19:11:03,R_30oA7ZpOs4o07z4,,,,,37.813507080078125,-121.9658050537109375,anonymous,EN,,Male,1-5 years,20-59,Undergraduate,$150k+,White,50,,,,,,,,,,
2022-03-13 15:36:48,2022-03-13 19:41:52,IP Address,67.161.2.184,100,14704,True,2022-03-13 19:41:52,R_1Hq0ztrOQI1QY6c,,,,,37.89190673828125,-122.2635955810546875,anonymous,EN,,,,,,,,,,,Female,1-5 years,20-59,Undergraduate,$150k+,White,20,
2022-03-14 00:54:35,2022-03-14 00:55:11,IP Address,192.31.105.237,100,35,True,2022-03-14 00:55:11,R_1FlBmC1UKj4lnX2,,,,,37.87359619140625,-122.2570037841796875,anonymous,EN,,,,,,,,,,,Non-binary,5-10 years,< 20,Undergraduate,$150k+,Hispanic,66,
2022-03-12 20:03:27,2022-03-12 20:03:35,Spam,72.141.216.198,94,8,False,2022-03-19 21:03:36,R_2zIu9bf87RD74eF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,
2022-03-13 15:33:34,2022-03-13 15:33:57,IP Address,192.184.171.129,94,23,False,2022-03-20 15:33:58,R_3emCnSlgl5SQTvC,,,,,,,anonymous,EN,,,,,,,,,,,Male,1-5 years,< 20,Undergraduate,$25-$50k,Hispanic,,
2022-03-13 15:34:11,2022-03-13 15:34:33,IP Address,135.180.145.12,94,22,False,2022-03-20 15:34:37,R_2lYZLVeUuycLlzr,,,,,,,anonymous,EN,,Male,1-5 years,20-59,Undergraduate,$150k+,White,,,,,,,,,,,
2022-03-13 15:36:09,2022-03-13 15:36:48,IP Address,172.58.33.149,94,39,False,2022-03-20 15:36:49,R_Dqs7HHaaw8YCQgN,,,,,,,anonymous,EN,,Female,0-1 year,< 20,High School,<$25k,White,,,,,,,,,,,
2022-03-13 15:41:37,2022-03-13 15:41:56,IP Address,204.236.122.193,94,19,False,2022-03-20 15:41:58,R_3knPXn8qaI0mw64,,,,,,,anonymous,EN,,Male,0-1 year,20-59,Undergraduate,$25-$50k,White,,,,,,,,,,,
2022-03-13 15:44:10,2022-03-13 15:44:48,IP Address,107.127.14.46,94,38,False,2022-03-20 15:44:50,R_RmFuIYWLB4ZNUoV,,,,,,,anonymous,EN,,Female,0-1 year,< 20,Undergraduate,$150k+,White,,,,,,,,,,,
2022-03-13 15:53:28,2022-03-13 15:53:32,IP Address,68.132.139.50,94,4,False,2022-03-20 15:53:36,R_2dshm3S7kCV1l6L,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,
2022-03-13 15:59:07,2022-03-13 15:59:25,IP Address,73.202.74.66,94,17,False,2022-03-20 15:59:31,R_33f3SFwZesqyKO0,,,,,,,anonymous,EN,,,,,,,,,,,Male,0-1 year,20-59,Undergraduate,$50-$100k,White,,
2022-03-13 16:06:27,2022-03-13 16:06:41,IP Address,172.56.39.166,94,13,False,2022-03-20 16:06:45,R_OGL8yY4apsHVSZH,,,,,,,anonymous,EN,,Male,0-1 year,< 20,Undergraduate,<$25k,White,,,,,,,,,,,
2022-03-13 16:10:14,2022-03-13 16:10:29,IP Address,174.194.142.71,94,15,False,2022-03-20 16:10:35,R_26kBWrBkRGQxnkl,,,,,,,anonymous,EN,,,,,,,,,,,Male,0-1 year,< 20,Undergraduate,<$25k,White,,
2022-03-13 16:19:28,2022-03-13 16:19:53,IP Address,104.28.85.196,94,24,False,2022-03-20 16:19:59,R_2aruxZJEHFuLu0y,,,,,,,anonymous,EN,,Male,0-1 year,20-59,Undergraduate,$150k+,White,,,,,,,,,,,
2022-03-13 16:30:46,2022-03-13 16:31:09,IP Address,135.180.192.7,94,23,False,2022-03-20 16:31:11,R_1ouOpxKf05G0SPX,,,,,,,anonymous,EN,,,,,,,,,,,Male,1-5 years,20-59,Undergraduate,<$25k,White,,
2022-03-13 17:53:21,2022-03-13 17:53:34,IP Address,192.31.105.206,94,13,False,2022-03-20 17:53:40,R_2tJsbygiXwAbfM6,,,,,,,anonymous,EN,,,,,,,,,,,Male,0-1 year,< 20,Undergraduate,$150k+,White,,
2022-03-13 19:43:46,2022-03-13 19:43:53,IP Address,89.163.216.65,94,6,False,2022-03-20 19:44:02,R_bqgtQJlTU84eCqZ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,
2022-03-13 20:04:51,2022-03-13 20:04:59,IP Address,89.163.216.65,94,7,False,2022-03-20 20:05:06,R_3R1rMp6OrsSxceI,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,
2022-03-13 15:36:14,2022-03-13 21:48:40,IP Address,67.161.2.184,94,22345,False,2022-03-20 21:48:42,R_1GWxt6ShJojFiRm,,,,,,,anonymous,EN,,Male,0-1 year,20-59,Postgraduate,$100-$150k,White,,,,,,,,,,,
2022-03-13 21:49:10,2022-03-13 22:48:04,IP Address,67.161.2.184,94,3534,False,2022-03-20 22:48:06,R_3Ocyeu31OMGd163,,,,,,,anonymous,EN,,Male,0-1 year,20-59,Postgraduate,$150k+,Other,,,,,,,,,,,
2022-03-12 20:02:50,2022-03-14 10:41:49,IP Address,216.181.14.5,94,135539,False,2022-03-21 10:41:51,R_ZjH6VCjR9iaF7ep,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,
2022-03-14 18:56:23,2022-03-14 18:56:28,IP Address,89.163.216.65,94,5,False,2022-03-21 18:56:35,R_pmhbDcUJ6BKj9Yt,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,
2022-04-05 13:01:12,2022-04-05 13:01:22,Survey Preview,,100,9,True,2022-04-05 13:01:23,R_3PjfNLhqmkbvSju,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,,,,,,,,,,something,,,,,,,44,
2022-04-05 13:01:59,2022-04-05 13:02:32,Survey Preview,,100,32,True,2022-04-05 13:02:33,R_Qml49LBw4g6t37X,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,3,,,,,,,67,,,,,,,,,,
2022-04-05 13:08:05,2022-04-05 13:08:16,Survey Preview,,100,11,True,2022-04-05 13:08:17,R_3qaR4B51D6lYvwj,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,8,,,,,,,60,,,,,,,,,,
2022-04-05 13:10:29,2022-04-05 13:10:38,Survey Preview,,100,8,True,2022-04-05 13:10:39,R_1QnNzlk6PCSeo0N,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,,,,,,,,,,3,,,,,,,57,
2022-04-05 13:11:11,2022-04-05 13:11:22,Survey Preview,,100,10,True,2022-04-05 13:11:23,R_3NvRNEazOeBKXOU,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,3,,,,,,,83,,,,,,,,,,
2022-04-05 13:13:59,2022-04-05 13:14:15,Survey Preview,,100,15,True,2022-04-05 13:14:16,R_2ScnXwvREnMfV0a,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,5,,,,,,,63,,,,,,,,,,
2022-04-05 13:22:28,2022-04-05 13:23:20,IP Address,72.141.216.198,100,51,True,2022-04-05 13:23:20,R_3dVZdFJbKqpKiBW,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,anonymous,EN,2,Non-binary,,,,,,63,,,,,,,,,,
2022-04-05 13:34:27,2022-04-05 13:38:18,IP Address,72.141.216.198,100,231,True,2022-04-05 13:38:19,R_DoT1Zz1PxpaUif7,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,anonymous,EN,,,,,,,,,,3,,,,,,,62,
2022-04-05 13:39:38,2022-04-05 13:39:45,IP Address,72.141.216.198,100,6,True,2022-04-05 13:39:45,R_3D0gK1KtuDVsIqx,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,anonymous,EN,3,,,,,,,77,,,,,,,,,,
2022-04-06 13:32:14,2022-04-06 13:32:31,Survey Preview,,100,16,True,2022-04-06 13:32:31,R_ZkMw2R8jCXadZId,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,8,,,,,,,78,,,,,,,,,,
2022-04-06 13:32:43,2022-04-06 13:32:53,Survey Preview,,100,10,True,2022-04-06 13:32:54,R_3D1jyBPFo5LzAjM,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,9,,,,,,,80,,,,,,,,,,
2022-04-06 14:17:10,2022-04-06 14:17:18,Survey Preview,,100,7,True,2022-04-06 14:17:18,R_RRAfM6YIZaZMFr3,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,preview,EN,,,,,,,,,,8,,,,,,,73,
2022-04-06 14:17:34,2022-04-06 14:17:43,IP Address,72.141.216.198,100,8,True,2022-04-06 14:17:43,R_b48UkY9OXVkH2Vz,,,,,42.98559999999999803321770741604268550872802734375,-81.23480000000000700310920365154743194580078125,anonymous,EN,9,,,,,,,84,,,,,,,,,,
2022-04-06 14:33:20,2022-04-06 14:35:12,IP Address,99.123.151.222,100,111,True,2022-04-06 14:35:12,R_3HUq2ndBoOuxiRC,,,,,36.31700000000000017053025658242404460906982421875,-94.156800000000004047251422889530658721923828125,anonymous,EN,616daac868a5b717856853c9,Female,0-1 year,20-59,High School,$50-$100k,White,56,,,,,,,,,,
2022-04-06 14:42:19,2022-04-06 14:43:36,IP Address,99.30.155.13,100,76,True,2022-04-06 14:43:36,R_1jVsBQtXKSIu6Og,,,,,38.50919999999999987494447850622236728668212890625,-121.495599999999996043698047287762165069580078125,anonymous,EN,,,,,,,,,,60d2315e65b9c87b4ab420db,Female,1-5 years,20-59,Postgraduate,$150k+,White,52,
2022-04-06 14:46:17,2022-04-06 14:47:29,IP Address,172.58.205.23,100,72,True,2022-04-06 14:47:29,R_2cqS90qy5pHgJep,,,,,40.06099999999999994315658113919198513031005859375,-75.0501000000000004774847184307873249053955078125,anonymous,EN,6155d220a00a02944ff82437,Male,1-5 years,20-59,Postgraduate,$150k+,Asian,39,,,,,,,,,,
2022-04-06 14:50:51,2022-04-06 14:51:39,IP Address,98.177.72.110,100,47,True,2022-04-06 14:51:39,R_2XjMcYryiXnXDlI,,,,,33.3875000000000028421709430404007434844970703125,-111.8507000000000033423930290155112743377685546875,anonymous,EN,,,,,,,,,,60fdc0665bbe6e9e2d8dc173,Male,1-5 years,20-59,Postgraduate,$25-$50k,White,38,
2022-04-06 14:52:46,2022-04-06 14:53:35,IP Address,73.55.243.59,100,48,True,2022-04-06 14:53:35,R_3JflVawKcQibzRC,,,,,29.520900000000001028865881380625069141387939453125,-95.1921999999999997044142219237983226776123046875,anonymous,EN,613dbd29bcd1674d09986161,Female,1-5 years,20-59,Undergraduate,$150k+,White,61,,,,,,,,,,
2022-04-06 14:52:51,2022-04-06 14:53:37,IP Address,75.161.208.127,100,46,True,2022-04-06 14:53:37,R_27xSLxnQG8cnE3n,,,,,35.050600000000002864908310584723949432373046875,-106.7249000000000052068571676500141620635986328125,anonymous,EN,5d61a3a5f923dd0001d0370f,Female,0-1 year,20-59,Undergraduate,$25-$50k,Hispanic,74,,,,,,,,,,
2022-04-06 14:52:40,2022-04-06 14:55:17,IP Address,172.58.130.81,100,157,True,2022-04-06 14:55:18,R_9WAf2vy3mPVTJ1n,,,,,47.53569999999999851070242584683001041412353515625,-122.35030000000000427462509833276271820068359375,anonymous,EN,,,,,,,,,,5e4db97c679288216771f059,Female,10+ years,20-59,Undergraduate,$50-$100k,Asian,50,
2022-04-06 14:58:33,2022-04-06 14:59:42,IP Address,174.60.42.45,100,69,True,2022-04-06 14:59:42,R_1CfbITlt4Qq9OGR,,,,,40.34729999999999705551090301014482975006103515625,-75.93049999999999499777914024889469146728515625,anonymous,EN,,,,,,,,,,5e4fcfa854a6e701211477c8,Male,10+ years,20-59,Associate,$100-$150k,White,70,
2022-04-06 15:00:25,2022-04-06 15:03:22,IP Address,173.20.200.159,100,176,True,2022-04-06 15:03:22,R_2dgMogBHe3obyfE,,,,,37.11370000000000146656020660884678363800048828125,-93.2895999999999929741534288041293621063232421875,anonymous,EN,,,,,,,,,,5f483fcda023e1304ce86119,Male,1-5 years,20-59,High School,<$25k,White,85,
2022-04-06 15:05:09,2022-04-06 15:05:38,IP Address,174.199.160.131,100,28,True,2022-04-06 15:05:38,R_33msWwuag95rb75,,,,,33.4166000000000025238477974198758602142333984375,-86.7794999999999987494447850622236728668212890625,anonymous,EN,6091afc0f6879bb680a1a1e1,Female,1-5 years,20-59,High School,$150k+,White,57,,,,,,,,,,
2022-04-06 15:02:54,2022-04-06 15:06:00,IP Address,108.239.55.67,100,186,True,2022-04-06 15:06:00,R_1q40KWdUuyxcFb6,,,,,43.1152000000000015234036254696547985076904296875,-85.513599999999996725819073617458343505859375,anonymous,EN,614f9b04b5dbb3cea5a74d98,Female,0-1 year,20-59,High School,$25-$50k,White,7,,,,,,,,,,
2022-04-06 15:07:25,2022-04-06 15:08:37,IP Address,174.58.9.38,100,71,True,2022-04-06 15:08:37,R_31AEhDea325bLDX,,,,,27.3682000000000016370904631912708282470703125,-82.484700000000003683453542180359363555908203125,anonymous,EN,61009b8d84bfd7086deec45a,Female,1-5 years,20-59,Postgraduate,$100-$150k,Asian,69,,,,,,,,,,
2022-04-06 15:10:54,2022-04-06 15:12:01,IP Address,70.241.244.243,100,66,True,2022-04-06 15:12:01,R_1JRgQqCBH4dVGlW,,,,,32.847700000000003228706191293895244598388671875,-96.7025000000000005684341886080801486968994140625,anonymous,EN,,,,,,,,,,6133e9702ea60a5cbe239bbf,Female,10+ years,20-59,Undergraduate,$150k+,Hispanic,76,
2022-04-06 15:17:40,2022-04-06 15:19:22,IP Address,172.58.59.202,100,101,True,2022-04-06 15:19:23,R_3g0KwWlwRhy1ihy,,,,,39.738799999999997680788510479032993316650390625,-104.9868000000000023419488570652902126312255859375,anonymous,EN,5f022bf9ee78ac0d3bf79b07,Female,0-1 year,20-59,High School,$50-$100k,White,71,,,,,,,,,,
2022-04-06 15:14:43,2022-04-06 15:19:45,IP Address,73.88.108.120,100,302,True,2022-04-06 15:19:45,R_PHesbzyi2xNGQPT,,,,,32.8215000000000003410605131648480892181396484375,-80.0567999999999955207385937683284282684326171875,anonymous,EN,,,,,,,,,,5d36d88240502d00015c1f1d,Female,5-10 years,20-59,Postgraduate,$25-$50k,Black,30,
